INSTANCE_NAME,IP,MACHINE_TYPE,CPU,MEMORY,DISK,STATUS,PROJECT,ENV,ENGAGEMENT,COST_CENTER,Running_hours
jcpajiotv-hap-1,10.3.8.107,e2-custom-4-8192,4,8.0 GB,50 GB,TERMINATED,jioengage,prod,jcpa,bigticket-prod,720
jcpajiotv-mongo-master,10.3.1.23,e2-medium,2,4.0 GB,100 GB,TERMINATED,jioengage,prod,jcpa,bigticket-prod,720
jcpajiotv-mongo-replica,10.3.1.24,e2-medium,2,4.0 GB,100 GB,TERMINATED,jioengage,prod,jcpa,bigticket-prod,720
jcpajiotv-sc-app-1,10.3.17.47,e2-custom-8-16384,8,16.0 GB,50 GB,TERMINATED,jioengage,prod,jcpa,bigticket-prod,720
jcpajiotv-sc-app-2,10.3.17.48,e2-custom-8-16384,8,16.0 GB,50 GB,TERMINATED,jioengage,prod,jcpa,bigticket-prod,720
je-football-admin,10.3.2.223,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,je-football,brand-prod,720
je-football-feed-es,10.3.2.222,e2-small,2,2.0 GB,100 GB,RUNNING,jioengage,prod,je-football,brand-prod,720
je-football-hap,10.3.8.8,e2-medium,2,4.0 GB,30 GB,RUNNING,jioengage,prod,je-football,brand-prod,720
je-football-mongo,10.3.1.47,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,je-footall,brand-prod,720
je-football-rabbitmq,10.3.3.28,n2-custom-2-4096,2,4.0 GB,30 GB,RUNNING,jioengage,prod,je-football,brand-prod,720
je-football-sc-app-1,10.3.16.130,e2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,je-football,brand-prod,720
je-football-sc-app-2,10.3.16.131,e2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,je-football,brand-prod,720
je-football-twemproxy-instance-group-20221110-11s8,10.3.8.15,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,je-football,brand-prod,720
je-football-twemproxy-instance-group-20221110-9sl1,10.3.8.10,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,je-football,brand-prod,720
je-football-twemproxy-instance-group-20221110-gqmh,10.3.8.14,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,je-football,brand-prod,720
je-football-twemproxy-instance-group-20221110-jjlp,10.3.8.16,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,je-football,brand-prod,720
je-football-twemproxy-instance-group-20221110-mtkq,10.3.8.13,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,je-football,brand-prod,720
jio-khelo-dev,10.2.3.16,e2-medium,2,4.0 GB,70 GB,RUNNING,jioengage,dev,engagedevserver,brand-dev,308
jiocrick-app-dev,10.2.3.17,e2-small,2,2.0 GB,40 GB,RUNNING,jioengage,dev,jiocricket,brand-dev,308
jiocricket-admin,10.3.2.39,e2-standard-4,4,16.0 GB,70 GB,RUNNING,jioengage,prod,jiocricket,brand-prod,720
jiocricket-admin-1,10.8.2.2,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,jiocricket,brand-prod,720
jiocricket-appserver-1,10.3.16.187,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,jiocricket,brand-prod,720
jiocricket-appserver-10,10.3.16.253,e2-medium,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,jiocricket,brand-prod,720
jiocricket-appserver-11,10.3.17.10,e2-medium,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,jiocricket,brand-prod,720
jiocricket-appserver-12,10.3.17.19,e2-medium,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,jiocricket,brand-prod,720
jiocricket-appserver-13,10.3.16.220,e2-medium,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,jiocricket,brand-prod,720
jiocricket-appserver-14,10.3.17.17,e2-medium,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,jiocricket,brand-prod,720
jiocricket-appserver-15,10.3.17.18,e2-medium,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,jiocricket,brand-prod,720
jiocricket-appserver-16,10.3.16.239,e2-medium,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,jiocricket,brand-prod,720
jiocricket-appserver-17,10.3.16.245,e2-medium,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,jiocricket,brand-prod,720
jiocricket-appserver-18,10.3.17.14,e2-medium,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,jiocricket,brand-prod,720
jiocricket-appserver-19,10.3.17.15,e2-medium,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,jiocricket,brand-prod,720
jiocricket-appserver-2,10.3.16.209,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,jiocricket,brand-prod,720
jiocricket-appserver-20,10.3.17.16,e2-medium,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,jiocricket,brand-prod,720
jiocricket-appserver-3,10.3.16.210,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,jiocricket,brand-prod,720
jiocricket-appserver-4,10.3.16.211,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,prod,jiocricket,brand-prod,720
jiocricket-appserver-5,10.3.16.212,e2-medium,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,jiocricket,brand-prod,720
jiocricket-appserver-6,10.3.16.213,e2-medium,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,jiocricket,brand-prod,720
jiocricket-appserver-7,10.3.16.214,e2-medium,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,jiocricket,brand-prod,720
jiocricket-appserver-8,10.3.17.12,e2-medium,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,jiocricket,brand-prod,720
jiocricket-appserver-9,10.3.17.13,e2-medium,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,jiocricket,brand-prod,720
jiocricket-appserver1,10.8.1.2,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,jiocricket,brand-prod,720
jiocricket-feedserver-1,10.8.1.7,e2-small,2,2.0 GB,50 GB,TERMINATED,jioengage,prod,jiocricket,brand-prod,720
jiocricket-mongo-master,10.3.1.15,n2-standard-2,2,8.0 GB,150 GB,RUNNING,jioengage,prod,jiocricket,brand-prod,720
jiocricket-mongo-master1,10.8.3.2,n2-standard-2,2,8.0 GB,150 GB,RUNNING,jioengage,prod,jiocricket,brand-prod,720
jiocricket-mongo-replica,10.3.1.16,n2-standard-2,2,8.0 GB,150 GB,RUNNING,jioengage,prod,jiocricket,brand-prod,720
jiocricket-mongo-replica1,10.8.3.3,n2-standard-2,2,8.0 GB,150 GB,RUNNING,jioengage,prod,jiocricket,brand-prod,720
jiocricket-rabbitmq,10.3.3.16,e2-small,2,2.0 GB,30 GB,RUNNING,jioengage,prod,jiocricket,brand-prod,720
jiocricket-rabbitmq1,10.8.5.2,n2-highcpu-2,2,2.0 GB,30 GB,RUNNING,jioengage,prod,jiocricket,brand-prod,720
jiocricket-redis,10.3.4.27,n2-standard-4,4,16.0 GB,30 GB,RUNNING,jioengage,prod,jiocricket,brand-prod,720
jiocricket-redis1,10.8.4.2,n2-custom-2-4096,2,4.0 GB,30 GB,RUNNING,jioengage,prod,jiocricket,brand-prod,720
jiocricketapp-replica,10.2.3.34,e2-custom-4-8192,4,8.0 GB,100 GB,RUNNING,jioengage,prod,jiocricket,brand-prod,720
jioengage-analytics-bastion,10.11.1.61,n2-custom-2-4096,2,4.0 GB,30 GB,RUNNING,analytics,bastion,analytics,,
jioengage-bt-grafana,10.3.16.51,n2-standard-4,4,16.0 GB,100 GB,RUNNING,jioengage,prod,central-profile,bigticket-prod,720
jioengage-bt-monitoring,10.3.17.0,n2-standard-4,4,16.0 GB,100 GB,RUNNING,jioengage,prod,central-profile,bigticket-prod,720
jioengage-cms-dev,10.2.3.15,e2-medium,2,4.0 GB,120 GB,RUNNING,jcn,dev,coupon,jcn-dev,308
